Occupation,Gender,Amount_Spent
"IT Sector",F,10184835
Aviation,F,9007393
Healthcare,F,8968233
Banking,F,7792296
Govt,F,6002907
"IT Sector",M,4570244
Media,F,4375030
Hospitality,F,4183199
Healthcare,M,4066355
Automobile,F,3768843
Chemical,F,3665084
Aviation,M,3594905
Retail,F,3583695
Lawyer,F,3383409
Banking,M,2978315
"Food Processing",F,2825277
Construction,F,2595422
Govt,M,2514305
Hospitality,M,2193206
Textile,F,2159752
Media,M,1920803
Agriculture,F,1840482
Chemical,M,1632352
Automobile,M,1599753
Lawyer,M,1598256
"Food Processing",M,1245393
Retail,M,1199475
Textile,M,1045220
Construction,M,1002089
Agriculture,M,752605
